Nombre,Total
Isabella,3101
Sofia,3076
Agustina,2939
Emilia,2599
Josefa,2431
Isidora,2275
Emma,2216
Trinidad,2174
Florencia,2099
Julieta,1833
Maite,1810
Mia,1711
Maria,1588
Amanda,1564
Antonella,1497
Martina,1478
Catalina,1236
Leonor,1215
Valentina,1198
Renata,1163
Emily,1103
Antonia,1064
Victoria,960
Amparo,951
Fernanda,899
Amelia,834
Ambar,813
Ignacia,795
Dominga,781
Luciana,734
Javiera,700
Matilda,681
Rafaela,677
Amalia,671
Matilde,592
Samantha,584
Aurora,577
Colomba,563
Elena,553
Francisca,550
Pascal,547
Laura,546
Lia,543
Constanza,505
Josefina,495
Camila,481
Mayte,466
Sophia,440
Monserrat,438
Luc?A,432
Magdalena,416
Pascuala,405
Pia,398
Ema,384
Violeta,364
Celeste,354
Anais,337
Roc?O,317
Olivia,309
Alice,308
Belen,301
Helena,295
Paz,294
Sara,292
Eloisa,290
Rafaella,288
Mariana,285
Agatha,280
Abigail,278
Aylin,278
Elisa,275
Alondra,243
Elizabeth,243
Isabel,243
Aylen,241
Gabriela,240
Ana,234
Dominique,227
Alicia,226
Paula,226
Luna,221
Pascale,221
Fiorella,220
Esperanza,217
Daniela,207
Jacinta,201
Noemi,201
Montserrat,196
Rayen,195
Genesis,190
Denisse,179
Mailen,179
Noelia,177
Ainhoa,175
Millaray,175
Alma,174
Ashley,171
Clara,166
Eimy,154
Amaya,153
Almendra,152
Ayleen,152
Mila,152
Angela,150
Amaral,149
Alejandra,147
Amy,147
Cataleya,143
Zoe,143
Diana,142
Bianca,133
Samara,133
Alexandra,126
Valeria,122
Luz,121
Amaia,120
Leticia,120
Dafne,119
Aranza,118
Consuelo,117
Eva,117
Mayra,114
Carla,113
Danae,111
Miranda,110
Alison,109
Carolina,109
Sayen,107
Anahis,106
Anastasia,106
Maylen,106
Agata,102
Augusta,102
Sophie,101
Barbara,100
Danna,100
Emely,99
Naomi,99
Rosario,99
Simona,98
Alisson,97
Allison,97
Eluney,91
Julietta,91
Romina,91
Rebeca,88
Alexa,87
Alexia,86
Charlotte,85
Jazm?N,85
Maura,85
Xiomara,85
Amelie,84
Nicole,84
Claudia,83
Maitte,83
Juliette,81
Andrea,80
Blanca,80
Melek,80
Samanta,80
Scarlett,78
Astrid,77
Estefan?A,77
Maithe,77
Amira,76
Aneley,76
Sol,76
Ayelen,75
Karla,75
Leah,75
Tamara,75
Thiare,74
Chloe,73
Ruth,72
Sarah,72
Kiara,71
Ainara,70
Keyla,70
Emiliana,67
Katalina,67
Isabela,66
Cristina,64
Saray,64
Alanis,63
Amara,63
Arantza,63
Fabiana,63
Lourdes,63
