Rank,Name,% of pop.,"No.（10,000's）",Province with most
1,王,7.170%,9520.00,Henan
2,李,7.000%,9340.00,Henan
3,张,6.740%,8960.00,Henan
4,刘,5.100%,6770.00,Shandong
5,陈,4.610%,6130.00,Guangdong
6,杨,3.220%,4270.00,Sichuan
7,黄,2.450%,3260.00,Guangdong
8,吴,2.000%,2680.00,Guangdong
9,赵,2.000%,2670.00,Henan
10,周,1.900%,2520.00,Hunan
11,徐,1.450%,1930.00,Jiangsu
12,孙,1.380%,1830.00,Shandong
13,马,1.290%,1720.00,Henan
14,朱,1.280%,1700.00,Jiangsu
15,胡,1.160%,1550.00,Hubei
16,林,1.130%,1510.00,Guangdong
17,郭,1.130%,1500.00,Henan
18,何,1.060%,1400.00,Sichuan
19,高,1.000%,1330.00,Shandong
20,罗,0.950%,1260.00,Sichuan
21,郑,0.930%,1240.00,Guangdong
22,梁,0.850%,1130.00,Guangdong
23,谢,0.760%,1010.00,Guangdong
24,宋,0.700%,932.00,Shandong
25,唐,0.690%,917.00,Hunan
26,许,0.660%,881.00,Guangdong
27,邓,0.620%,821.00,Guangdong
28,冯,0.620%,818.00,Guangdong
29,韩,0.610%,815.00,Henan
30,曹,0.600%,791.00,Henan
31,曾,0.580%,772.00,Guangdong
32,彭,0.580%,766.00,Hunan
33,萧,0.560%,739.00,Hunan
34,蔡,0.530%,701.00,Guangdong
35,潘,0.520%,687.00,Guangdong
36,田,0.520%,685.00,Henan
37,董,0.510%,677.00,Shandong
38,袁,0.500%,667.00,Sichuan
39,于,0.480%,642.00,Shandong
40,余,0.480%,633.00,Hubei
41,叶,0.480%,632.00,Guangdong
42,蒋,0.480%,632.00,Sichuan
43,杜,0.470%,619.00,Henan
44,苏,0.460%,606.00,Guangdong
45,魏,0.450%,603.00,Henan
46,程,0.450%,601.00,Anhui
47,吕,0.450%,596.00,Shandong
48,丁,0.430%,576.00,Jiangsu
49,沈,0.410%,550.00,Jiangsu
50,任,0.410%,547.00,Henan
